# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00 -5.4960270378351E-11  7.3648896218913E-01  0.0000000000000E+00  3.3960754006700E-01  1.0400794443238E-10
 2.8545567086677E-01  5.0723845166979E-03  5.9482323699833E-01  0.0000000000000E+00  3.3895789470649E-01 -5.2481903347571E-03
 2.9734305472241E-01  5.2265901037841E-03  5.8909334427832E-01  0.0000000000000E+00  3.3886117707702E-01 -5.4070671799847E-03
 3.0922968746268E-01  5.3767156418442E-03  5.8338239219926E-01  0.0000000000000E+00  3.3875566517487E-01 -5.5616635899983E-03
 3.2111554765944E-01  5.5228172362343E-03  5.7769089887366E-01  0.0000000000000E+00  3.3864101635006E-01 -5.7120380918055E-03
 3.3300061447518E-01  5.6649507722802E-03  5.7201937223971E-01  0.0000000000000E+00  3.3851689264884E-01 -5.8582490970198E-03
 3.4488486765482E-01  5.8031718956805E-03  5.6636831013783E-01  0.0000000000000E+00  3.3838296089038E-01 -6.0003548744841E-03
 3.5676828751759E-01  5.9375359931092E-03  5.6073820038613E-01  0.0000000000000E+00  3.3823889274468E-01 -6.1384135235544E-03
 3.6865085494892E-01  6.0680981738929E-03  5.5512952085485E-01  0.0000000000000E+00  3.3808436481183E-01 -6.2724829482553E-03
 3.8053255139227E-01  6.1949132521266E-03  5.4954273953960E-01  0.0000000000000E+00  3.3791905870213E-01 -6.4026208329988E-03
 3.9241335884113E-01  6.3180357293251E-03  5.4397831463374E-01  0.0000000000000E+00  3.3774266111742E-01 -6.5288846180926E-03
 4.0429325983090E-01  6.4375197784225E-03  5.3843669459988E-01  0.0000000000000E+00  3.3755486393296E-01 -6.6513314775376E-03
 4.1617223743090E-01  6.5534192276945E-03  5.3291831824044E-01  0.0000000000000E+00  3.3735536428005E-01 -6.7700182966981E-03
 4.2805027523637E-01  6.6657875456570E-03  5.2742361476749E-01  0.0000000000000E+00  3.3714386462924E-01 -6.8850016511062E-03
 4.3992735736051E-01  6.7746778267270E-03  5.2195300387184E-01  0.0000000000000E+00  3.3692007287382E-01 -6.9963377867523E-03
 4.5180346842662E-01  6.8801427775377E-03  5.1650689579151E-01  0.0000000000000E+00  3.3668370241363E-01 -7.1040826003936E-03
 4.6367859356019E-01  6.9822347036013E-03  5.1108569137945E-01  0.0000000000000E+00  3.3643447223893E-01 -7.2082916215174E-03
 4.7555271838109E-01  7.0810054970079E-03  5.0568978217083E-01  0.0000000000000E+00  3.3617210701432E-01 -7.3090199944551E-03
