# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 2.8545567086677E-01  9.8310814799575E-01  2.0277682726988E-01  0.0000000000000E+00 -6.5734624621413E-02  1.0171820893141E+00
 2.9734305472241E-01  9.8316936598816E-01  2.1060136937871E-01  0.0000000000000E+00 -6.7861644942495E-02  1.0171187534865E+00
 3.0922968746268E-01  9.8323238879292E-01  2.1837648625837E-01  0.0000000000000E+00 -6.9941299316496E-02  1.0170535586482E+00
 3.2111554765944E-01  9.8329716790333E-01  2.2610225618154E-01  0.0000000000000E+00 -7.1973826776036E-02  1.0169865556842E+00
 3.3300061447518E-01  9.8336365548141E-01  2.3377875950124E-01  0.0000000000000E+00 -7.3959473831776E-02  1.0169177947811E+00
 3.4488486765482E-01  9.8343180435576E-01  2.4140607858918E-01  0.0000000000000E+00 -7.5898494332351E-02  1.0168473254280E+00
 3.5676828751759E-01  9.8350156801920E-01  2.4898429777565E-01  0.0000000000000E+00 -7.7791149324507E-02  1.0167751964179E+00
 3.6865085494892E-01  9.8357290062611E-01  2.5651350329086E-01  0.0000000000000E+00 -7.9637706913404E-02  1.0167014558488E+00
 3.8053255139227E-01  9.8364575698955E-01  2.6399378320785E-01  0.0000000000000E+00 -8.1438442123094E-02  1.0166261511263E+00
 3.9241335884113E-01  9.8372009257811E-01  2.7142522738685E-01  0.0000000000000E+00 -8.3193636757164E-02  1.0165493289653E+00
 4.0429325983090E-01  9.8379586351255E-01  2.7880792742120E-01  0.0000000000000E+00 -8.4903579259519E-02  1.0164710353930E+00
 4.1617223743090E-01  9.8387302656219E-01  2.8614197658475E-01  0.0000000000000E+00 -8.6568564575313E-02  1.0163913157515E+00
 4.2805027523637E-01  9.8395153914111E-01  2.9342746978077E-01  0.0000000000000E+00 -8.8188894012017E-02  1.0163102147011E+00
 4.3992735736051E-01  9.8403135930413E-01  3.0066450349241E-01  0.0000000000000E+00 -8.9764875100620E-02  1.0162277762237E+00
 4.5180346842662E-01  9.8411244574257E-01  3.0785317573460E-01  0.0000000000000E+00 -9.1296821456946E-02  1.0161440436265E+00
 4.6367859356019E-01  9.8419475777991E-01  3.1499358600750E-01  0.0000000000000E+00 -9.2785052643113E-02  1.0160590595460E+00
 4.7555271838109E-01  9.8427825536713E-01  3.2208583525147E-01  0.0000000000000E+00 -9.4229894029097E-02  1.0159728659524E+00
 4.8742582899583E-01  9.8436289907802E-01  3.2913002580347E-01  0.0000000000000E+00 -9.5631676654436E-02  1.0158855041536E+00
 4.9929791198984E-01  9.8444865010423E-01  3.3612626135502E-01  0.0000000000000E+00 -9.6990737090039E-02  1.0157970148002E+00
 5.1116895441982E-01  9.8453547025024E-01  3.4307464691160E-01  0.0000000000000E+00 -9.8307417300135E-02  1.0157074378903E+00
 5.2303894380611E-01  9.8462332192810E-01  3.4997528875351E-01  0.0000000000000E+00 -9.9582064504339E-02  1.0156168127744E+00
 5.3490786812521E-01  9.8471216815213E-01  3.5682829439826E-01  0.0000000000000E+00 -1.0081503103986E-01  1.0155251781610E+00
 5.4677571580227E-01  9.8480197253342E-01  3.6363377256437E-01  0.0000000000000E+00 -1.0200667422384E-01  1.0154325721216E+00
 5.5864247570366E-01  9.8489269927425E-01  3.7039183313659E-01  0.0000000000000E+00 -1.0315735621582E-01  1.0153390320965E+00
 5.7050813712970E-01  9.8498431316235E-01  3.7710258713265E-01  0.0000000000000E+00 -1.0426744388041E-01  1.0152445949006E+00
 5.8237268980729E-01  9.8507677956517E-01  3.8376614667131E-01  0.0000000000000E+00 -1.0533730865004E-01  1.0151492967294E+00
 5.9423612388278E-01  9.8517006442387E-01  3.9038262494192E-01  0.0000000000000E+00 -1.0636732638795E-01  1.0150531731644E+00
 6.0609842991479E-01  9.8526413424743E-01  3.9695213617535E-01  0.0000000000000E+00 -1.0735787725133E-01  1.0149562591800E+00
 6.1795959886719E-01  9.8535895610651E-01  4.0347479561622E-01  0.0000000000000E+00 -1.0830934555462E-01  1.0148585891494E+00
 6.2981962210205E-01  9.8545449762731E-01  4.0995071949665E-01  0.0000000000000E+00 -1.0922211963309E-01  1.0147601968510E+00
