1 251 5 30.0 
  -0.300000000000000E+02   0.100000000794824E+01   0.100000000007208E+01   0.111111112453485E+01   0.494315874504636E+01  -0.259675984384176E+02
  -0.288263362470258E+02   0.100000000787237E+01   0.100000000007152E+01   0.111111112440671E+01   0.483641735023789E+01  -0.274000967181926E+02
  -0.276789744807535E+02   0.100000000778036E+01   0.100000000007085E+01   0.111111112425133E+01   0.472399310267076E+01  -0.288062031289467E+02
  -0.265592631602796E+02   0.100000000767307E+01   0.100000000007005E+01   0.111111112407013E+01   0.460602623339426E+01  -0.301683962873877E+02
  -0.254685085113965E+02   0.100000000755147E+01   0.100000000006914E+01   0.111111112386478E+01   0.448272909180204E+01  -0.314682019062216E+02
  -0.244079568251684E+02   0.100000000741662E+01   0.100000000006816E+01   0.111111112363704E+01   0.435438913854992E+01  -0.326866159946380E+02
  -0.233787762541888E+02   0.100000000726971E+01   0.100000000006707E+01   0.111111112338890E+01   0.422137008725426E+01  -0.338046050779274E+02
  -0.223820385853803E+02   0.100000000711200E+01   0.100000000006590E+01   0.111111112312256E+01   0.408411091795858E+01  -0.348036667137496E+02
  -0.214187015255403E+02   0.100000000694482E+01   0.100000000006468E+01   0.111111112284019E+01   0.394312256623347E+01  -0.356664266904597E+02
  -0.204895920705903E+02   0.100000000676953E+01   0.100000000006338E+01   0.111111112254415E+01   0.379898219844533E+01  -0.363772434279763E+02
  -0.195953915360483E+02   0.100000000658756E+01   0.100000000006204E+01   0.111111112223682E+01   0.365232511042284E+01  -0.369227860878477E+02
  -0.187366228009053E+02   0.100000000640030E+01   0.100000000006065E+01   0.111111112192054E+01   0.350383442456847E+01  -0.372925514526528E+02
  -0.179136402584436E+02   0.100000000620915E+01   0.100000000005925E+01   0.111111112159772E+01   0.335422889808866E+01  -0.374792862329539E+02
  -0.171266228770882E+02   0.100000000601548E+01   0.100000000005782E+01   0.111111112127065E+01   0.320424927987615E+01  -0.374792862304148E+02
  -0.163755706568370E+02   0.100000000582055E+01   0.100000000005637E+01   0.111111112094143E+01   0.305464375341673E+01  -0.372925514450103E+02
  -0.156603046292582E+02   0.100000000562564E+01   0.100000000005495E+01   0.111111112061222E+01   0.290615306760323E+01  -0.369227860750252E+02
  -0.149804704010671E+02   0.100000000543185E+01   0.100000000005351E+01   0.111111112028495E+01   0.275949597964255E+01  -0.363772434098444E+02
  -0.143355450932667E+02   0.100000000524023E+01   0.100000000005210E+01   0.111111111996133E+01   0.261535561193791E+01  -0.356664266668388E+02
  -0.137248473903322E+02   0.100000000505172E+01   0.100000000005070E+01   0.111111111964296E+01   0.247436726031863E+01  -0.348036666844025E+02
  -0.131475502963401E+02   0.100000000486713E+01   0.100000000004933E+01   0.111111111933121E+01   0.233710809115227E+01  -0.338046050425601E+02
  -0.126026961044838E+02   0.100000000468715E+01   0.100000000004803E+01   0.111111111902722E+01   0.220408904001069E+01  -0.326866159528968E+02
