-1.0000000000000E+002  4.5059935834610E-009 -4.4604723726560E-009  0.0000000000000E+000  0.0000000000000E+000  0.0000000000000E+000  0.0000000000000E+000  0.0000000000000E+000  0.0000000000000E+000 -6.7177581851771E-023  1.3056312472808E-022
-8.8480524957818E+001 -4.5206304840873E-010  5.6778012530396E-009  5.7424801971397E-013  4.6153139140079E-009  3.1264282457235E-009 -1.5738581009404E-010 -2.1229206788479E-034 -1.3603824591364E-033 -7.1261821713983E-017  9.0859562631599E-016
-7.7255400470858E+001  1.5114433902086E-008 -3.8193455801199E-010  1.2179476202771E-008 -1.2835616394370E-009 -1.7650676525110E-009 -7.6546404331504E-009  7.2829465882245E-034  1.1617526805945E-033  2.4170979669947E-015 -6.4722745171307E-017
-6.6434502806742E+001  5.3329634866139E-008 -2.5941384808948E-008  4.1407815502274E-008 -2.4389629493599E-008 -1.8578720698393E-008 -2.4514762267178E-008  3.6946260691891E-035 -1.6788955281348E-035  8.5276209519940E-015 -4.1606253985494E-015
-5.6154558605157E+001  9.7291723240388E-009 -5.6398358797975E-007 -2.8447180961521E-008 -4.5615934619992E-007 -2.8792918965279E-007  5.2578091963823E-008 -5.6425406894135E-036 -2.4329872637528E-035  1.4534039022571E-015 -9.0240229670073E-014
-4.6574084058703E+001 -2.0978265733579E-006 -2.9669318666031E-006 -1.8855463807278E-006 -2.2611785718147E-006 -1.2944785637861E-006  1.3683223999767E-006 -7.4040538512627E-036 -1.1588435506767E-035 -3.3623130832196E-013 -4.7428734070323E-013
-3.7859016645246E+001 -1.4164006237263E-005 -2.0039383201136E-006 -1.1571304149867E-005 -7.0513106690389E-007  4.2327876151766E-007  7.4114346450377E-006 -4.7490028759567E-035 -4.8378368714215E-035 -2.2670389043053E-012 -3.1769719251095E-013
-3.0158211560393E+001 -2.3400103270092E-005  8.0780685931972E-005 -1.3719425986245E-005  6.6767038983480E-005  4.3482747368780E-005  3.6998308212536E-006 -2.9136526828420E-034  1.1252279188347E-033 -3.7329582105124E-012  1.2931751999951E-011
-2.3573494499842E+001  2.8508701044256E-004  6.6206704654582E-004  2.7275800194417E-004  5.1651313559100E-004  3.0779737995345E-004 -2.1214250218297E-004  8.9977282089300E-032 -1.0665958897848E-031  4.5710718557746E-011  1.0589802031968E-010
-1.8134960107281E+001  2.6829748832665E-003  3.0000325534337E-003  2.3596027655385E-003  2.2511370675905E-003  1.2534486013056E-003 -1.6688604262474E-003 -1.0704595408317E-028 -7.4999199772106E-029  4.2971413420574E-010  4.7963889627769E-010
-1.3793028213623E+001  1.2694307836122E-002  9.1841054448156E-003  1.0842776148794E-002  6.6041146541667E-003  3.3824607217752E-003 -7.3871809344750E-003  8.1312985014592E-027  8.2271061585619E-027  2.0324299937736E-009  1.4677131761690E-009
-1.0431375313990E+001  4.0460257277475E-002  2.0265134290504E-002  3.3981261315309E-002  1.3774110970932E-002  6.2008987246400E-003 -2.2631729053048E-002 -3.5808067499471E-025 -1.0011644256021E-023  6.4766583676516E-009  3.2369050055840E-009
-7.8941360227872E+000  9.5682948650091E-002  3.3776948369127E-002  7.9454319443271E-002  2.1146740044811E-002  7.4703205255438E-003 -5.2085044320284E-002 -3.2489662455184E-022  2.4020911613939E-022  1.5314500389813E-008  5.3912449466750E-009
-6.0152983179686E+000  1.7932690640226E-001  4.4823431641504E-002  1.4772629346358E-001  2.4704779443387E-002  4.6027320059469E-003 -9.5743553703898E-002  3.0939114441031E-019  2.9872588436661E-019  2.8699560495529E-008  7.1470863653693E-009
-4.6408541065081E+000  2.8213766200316E-001  5.0041120625931E-002  2.3104212658159E-001  2.2330691934438E-002 -3.1720609348114E-003 -1.4855187849948E-001  9.0889522188433E-019 -7.6814941133910E-019  4.5150562875998E-008  7.9676414675871E-009
-3.6406125513733E+000  3.9089014823453E-001  4.9182376050916E-002  3.1819018249110E-001  1.4754798021660E-002 -1.4626530843826E-002 -2.0372781794696E-001  6.8843354534757E-019 -4.5217477394959E-019  6.2551484403792E-008  7.8157225473763E-009
-2.9114133992329E+000  4.9452120022177E-001  4.3975307918144E-002  3.9854804461707E-001  4.4692623367951E-003 -2.7706976576428E-002 -2.5569013966312E-001 -3.8429626803625E-019  5.9551512336238E-020  7.9132717708896E-008  6.9710572018733E-009
-2.3751406736272E+000  5.8647289371406E-001  3.6580894156453E-002  4.6351898420654E-001 -5.4625145207865E-003 -4.0538855131646E-002 -3.0111435531002E-001 -2.0723772886641E-019 -5.2525637373705E-019  9.3845729828274E-008  5.7822636510401E-009
-1.9744905437241E+000  6.6431853648550E-001  2.8717669402670E-002  5.0743316303654E-001 -1.2310828765825E-002 -5.1863571437967E-002 -3.3868059243324E-001  2.9856731202793E-019  4.4270890139875E-019  1.0630194084074E-007  4.5220997988667E-009
-1.6683450034691E+000  7.2843068252750E-001  2.1432750921148E-002  5.2841477642654E-001 -1.4327528024818E-002 -6.1083001319353E-002 -3.6852027733139E-001 -6.7970621332322E-019  4.5133955179155E-019  1.1655793774634E-007  3.3462382032122E-009
-1.4276481211746E+000  7.8065361114792E-001  1.5209559308656E-002  5.2796711243132E-001 -1.0893220297899E-002 -6.8091007885812E-002 -3.9155452406578E-001  6.3922017121625E-020 -4.1546101028789E-019  1.2490179550380E-007  2.3105658118076E-009
-1.2320829257140E+000  8.2325474126237E-001  1.0178884912400E-002  5.0924045220599E-001 -2.1208900792934E-003 -7.3042715459788E-002 -4.0898671042498E-001  4.0711690743273E-019 -1.5312832996366E-020  1.3168590916786E-007  1.4131551689277E-009
